,index,PY,UT_id,authors,citation_objects,content,date,dtype,duplicated,first_author,fulltext,id,journal_id,rated,relevant,scopus,source,tilength,title,uploaded,uploader_id,url,wos,ymentions
0,0,2016,WOS:000367758200113,,False,"Falling costs and supportive government policies have seen remarkable growth in residential photovoltaic systems in jurisdictions around the world. While there have been detailed studies of the financial attractiveness of PV for home owners under different policy and retail market arrangements, there has been less consideration of the impacts of such systems on some other key industry participants. In this paper we undertake an investigation of the annual short-term revenue impacts of PV systems for those households installing them, for their electricity retailers and network service providers (NSPs), and for all electricity customers more in general, in the Australian State of NSW. We use actual half-hourly PV generation and electricity consumption for 80 households in Sydney to estimate the 'real world' impacts of a range of former, current and possible future PV policy and retail tariff arrangements including gross and net Feed-in-Tariffs (FiT). We found that the short-term revenue impacts differ significantly for different commercial arrangements and, are highly variable and largely driven by the PV performance and its match with household consumption patterns. Results highlight that current net metering policies in Australia with low net FiT rates may provide only moderate revenue incentives to households, yet quite adverse revenue impacts on NSPs and retailers depending on the level of PV export. While NSP short-term revenue losses will likely involve increasing electricity tariffs in the longer term, losses for retailers may add risks to the profitability of household customers with PV. The challenge for policy makers is to facilitate socially valuable PV deployment whilst appropriately managing the impacts on all key electricity industry stakeholders. (C) 2015 Elsevier Ltd. All rights reserved.",,,False,,,3038,218451.0,2018-06-07 12:44:48.621714+00:00,0,False,,,"Assessing the short-term revenue impacts of residential PV systems on electricity customers, retailers and network service providers",False,,,True,
1,1,2014,WOS:000342530000050,,False,"Advances in IT, control and forecasting capabilities have made demand response a viable, and potentially attractive, option to increase power system flexibility. This paper presents a critical review of the literature in the field of demand response, providing an overview of the benefits and challenges of demand response. These benefits include the ability to balance fluctuations in renewable generation and consequently facilitate higher penetrations of renewable resources on the power system, an increase in economic efficiency through the implementation of real-time pricing, and a reduction in generation capacity requirements. Nevertheless, demand response is not without its challenges. The key challenges for demand response centre around establishing reliable control strategies and market frameworks so that the demand response resource can be used optimally. One of the greatest challenges for demand response is the lack of experience, and the consequent need to employ extensive assumptions when modelling and evaluating this resource. This paper concludes with an examination of these assumptions, which range from assuming a fixed linear price-demand relationship for price responsive demand, to modelling the highly diverse, distributed and uncertain demand response resource as a single, centralised negative generator, adopting fixed characteristics and constraints. (C) 2014 Elsevier Ltd. All rights reserved.",,,False,,,11179,218451.0,2018-06-11 14:53:37.509302+00:00,0,False,,,Benefits and challenges of electrical demand response: A critical review,False,,,True,
2,2,2015,WOS:000359875100064,"Bhattacharya, M, Rafiq, S, Bhattacharya, S",True,"Coal comprises 70% of primary energy sources and 80% of electricity generation in China. This paper investigates the coal consumption-economic growth nexus in an integrated demand-supply framework over the period from 1978 to 2010. We incorporate the role of coal technology to explain the growth process. Using the Autoregressive Distributed Lag bounds testing approach, we find improvement in the coal-to-electricity efficiency indicator, a proxy for coal technology, causing almost a 35% increase in real GDP in the long run. The Toda-Yamamoto causality test indicates unidirectional causality from coal consumption to economic growth, feedback effects both for coal-to-electricity efficiency indicator to economic growth and coal demand and openness to coal consumption. For a robustness check, we forecast the validity of the causal relationships beyond the sample horizon using the generalised forecast error variance decomposition method. Our analysis suggests that improving overall efficiency in coal sector will continue to play a significant role in maintaining sustainable growth in China in the long run. (C) 2015 Elsevier Ltd. All rights reserved.",,,False,"Bhattacharya, M",,12963,142756.0,2018-06-22 07:56:38.291634+00:00,0,False,,99.0,The role of technology on the dynamics of coal consumption-economic growth: New evidence from China,False,,,True,
3,3,2012,WOS:000306860700048,"Lopes, MAR, Lopes, MAR, Antunes, CH, Antunes, CH, Martins, N",False,"Energy behaviours represent a significant untapped potential for the increase of end-use energy efficiency in buildings. Although energy behaviours are a major determinant of energy use in buildings, energy savings potential due to behaviour are usually neglected, albeit being referred to be as high as those from technological solutions. This paper presents a review of recent literature on energy behaviours in order to recognise recent trends, quantify energy behaviours potential savings, characterise energy behaviour modelling strategies and identify potential research gaps. Energy behaviour research is vast and has been essentially focused on the residential sector, striving to establish behaviour determinants and the best strategies and instruments to promote more efficient energy behaviours. Potential savings of energy behaviours are referred to reach 20%, but values differ up to 100% between experiences and additional studies to quantify behavioural savings are needed, in particular by using standard quantification techniques. Different modelling techniques have been used to model energy behaviours: qualitative approaches from the social sciences trying to interpret behaviour, here named energy behaviour frameworks; quantitative approaches from the engineering and economics that quantify energy consumption, here designated by energy models; and hybrid approaches that are considered the most relevant since they integrate multiple dimensions of energy behaviours, here referred as energy behaviour modelling. Energy behaviours have a crucial role in promoting energy efficiency, but energy behaviours characteristics and complexity create several research challenges that must be overcome so energy behaviours may be properly valorised and integrated in the energy policy context. (C) 2012 Elsevier Ltd. All rights reserved.",,,False,"Lopes, MAR",,16440,218451.0,2018-06-20 14:56:56.756768+00:00,0,False,,74.0,Energy behaviours as promoters of energy efficiency: A 21st century review,False,,,True,
4,4,2014,2-s2.0-84889642965,"Korkua, S.K., Thinsurat, K.",False,"In order to strengthen energy security while reducing environmental impact, particularly from global warming and greenhouse gas (GHG) emissions, the government of Thailand has established a 20-year Energy Efficiency Development Plan (EEDP), aiming to reduce a 20% share of final energy consumption by 2030. The energy saving potential assessment reveals that the forecasted energy saving by the residential sector holds more than 60% of the overall electricity saving shares. Therefore, in this paper, the situation of Thailand's energy is presented and the energy conservation plan is reviewed. Next, a smart demand responsive energy management system under ZigBee/IEEE 802.15.4 based wireless communication is proposed. An analysis of demand response potential in terms of a time-of-use (TOU) pricing without enabling technology program in Thailand scenario is also investigated. Finally, by using the proposed load characterization and load prioritization under the concept of a smart energy management system, the bill savings benefits of a demand responsive program can be proved while the target of energy saving is also achieved.",,,False,"Korkua, S.K.",,18035,,2018-08-24 16:01:11.896757+00:00,0,True,,108.0,A load prioritization model for a smart demand responsive energy management system in the residential sector,False,,,False,
5,5,2012,WOS:000305882200004,,False,"Seasonal fluctuations in electricity demand have resulted in power cuts in peak periods in China. This paper finds that the main component of fluctuations in electricity demand of secondary industry consists of four high energy consumption industries. The fluctuations in electricity demand of steel are relevant to the fluctuations in automobile sales. The energy consumption of tertiary industry is highly consistent with the seasonal fluctuations in residential electricity consumption, which is mainly affected by extreme weather conditions. In view of the transmission mechanism of the seasonal fluctuations in electricity demand from the demand side, to improve energy efficiency, electricity companies can adopt the strategy of price discrimination to smooth the seasonal fluctuations in demand. (C) 2012 American Institute of Physics. [http://dx.doi.org/10.1063/1.4730417]",,,False,,,18769,186615.0,2018-07-06 14:32:34.739762+00:00,0,False,,,An empirical study on seasonal fluctuations in electricity demand in China,False,,,True,
6,6,2016,WOS:000369462100062,"Zhou, KL, Zhou, KL, Yang, SL, Yang, SL",False,"Understanding and changing household energy consumption behavior are considered as effective ways to improve energy efficiency and promote energy conservation. With the increasing penetration of conventional and emerging information and communication technologies (ICTs) in energy sector, traditional energy systems are being digitized. The energy big data provides a new way to analyze and understand individuals' energy consumption behavior, and thus to improve energy efficiency and promote energy conservation. We first propose a framework of the interdisciplinary research of energy, social and information science, which includes energy social science, social informatics and energy informatics. Then, different dimensions and different research paradigms of household energy consumption behavior are presented. Household energy consumption behavior can be analyzed in time dimension, user dimension and spatial dimension. The economic paradigm (including demand response) and the behavior-oriented paradigm (including intervention strategies) are two major research streams of household energy consumption behavior. Finally, the ""4V"" characteristics (i.e., volume, velocity, variety and value) of energy big data are discussed. (C) 2015 Elsevier Ltd. All rights reserved.",,,False,"Zhou, KL",,29629,218451.0,2018-06-07 12:48:08.154068+00:00,0,False,,98.0,Understanding household energy consumption behavior: The contribution of energy big data analytics,False,,,True,
7,8,2017,WOS:000398736700075,"Mahmood, D, Javaid, N, Ahmed, S, Ahmed, I, Niaz, IA, Abdul, W, Ghouzali, S",False,"Demand Response (DR) programs under the umbrella of Demand Side Management (DSM) tend to involve end users in optimizing their Power Consumption (PC) patterns and offer financial incentives to shift the load at low-priced hours. However, users have their own preferences of anticipating the amount of consumed electricity. While installing an Energy Management System (EMS), the user must be assured that this investment gives optimum comfort of bill savings, as well as appliance utility considering Time of Use (ToU). Moreover, there is a difference between desired load distribution and optimally-scheduled load across a 24-h time frame for lowering electricity bills. This difference in load usage timings, if it is beyond the tolerance level of a user, increases frustration. The comfort level is a highly variable phenomenon. An EMS giving optimum comfort to one user may not be able to provide the same level of satisfaction to another who has different preferences regarding electricity bill savings or appliance utility. Under such a diversity of human behaviors, it is difficult to select an EMS for an individual user. In this work, a numeric performance metric,User Comfort Level (UCL) is formulated on the basis of user preferences on cost saving, tolerance in delay regarding use of an appliance and return of investment. The proposed framework (UCL) allows the user to select an EMS optimally that suits his.her preferences well by anticipating electricity bill reduction, tolerable delay in ToU of the appliance and return on investment. Furthermore, an extended literature analysis is conducted demonstrating generic strategies of EMSs. Five major building blocks are discussed and a comparative analysis is presented on the basis of the proposed performance metric.",,,False,"Mahmood, D",,36320,162796.0,2018-06-11 14:53:53.176759+00:00,0,False,,,Orchestrating an Effective Formulation to Investigate the Impact of EMSs (Energy Management Systems) for Residential Units Prior to Installation,False,,,True,
8,9,2014,WOS:000333783200018,"Matsui, K, Matsui, K, Ochiai, H, Ochiai, H, Ochiai, H, Yamagata, Y",False,"To mitigate global warming, it is essential for households to reduce CO2 emissions. Saving electricity is one solution for the reduction. To promote this reduction, saving electricity by households should be considered because household consumption is growing rapidly. In this paper, we developed a system for metering electricity consumption and providing it to households as feedback on electricity usage. Previous studies on how to promote household energy savings found that feedback in real-time on electricity usage could be effective. Our system provided two types of information through web pages, (1) nearly real-time electricity consumption information, and (2) action lists for how to save energy. To test the effectiveness of these types of information, the system was installed in four households in an extremely cold district in Hokkaido, Japan for 378 days. During 30 days, data on electricity consumption was collected and stored. In the following month, a web page, which visualized nearly real-time electricity consumption, was opened to each household. After the experiment, an Internet-based questionnaire survey was conducted. The results obtained suggest that environmental awareness was an important aspect for inducing electricity saving behavior. (C) 2014 Elsevier Ltd. All rights reserved.",,,False,"Matsui, K",,37835,142756.0,2018-07-06 14:33:03.857783+00:00,1,True,,111.0,Feedback on electricity usage for home energy management: A social experiment in a local village of cold region,False,,,True,
9,10,2012,WOS:000301366000005,"Tsekeris, T",True,"The expenditure on private vehicle usage is an important aspect of the budget allocation process of households, which has important implications for the sustainable urban development and transport, energy and environmental policy making. This paper examines the gasoline consumption demand of Greek households using cross-sectional micro-data from a country-wide Household Budget Survey (HBS) during the period 2004/05. The two-step Heckman modeling methodology is adopted to jointly estimate the probability of selecting to use private vehicle and the amount of using it. In this way, it can help to identify and better explain factors for which some private vehicle owners/holders do (not) actually consume that mode. The results offer valuable insight into the existence of feedback relationship between the decision-making mechanisms of selecting to use private vehicle and amount of usage, in terms of the amount of money spent for gasoline consumption. They also indicate the statistically significant impact of region-specific fixed effects, which implies that unobserved or omitted factors associated with each Region have a different impact on the decision to choose and the amount of using private vehicle. The income variable has a statistically significant positive impact on the selection and usage of a private vehicle. The estimated income elasticity suggests that a private vehicle travel is relatively inelastic (normal and necessity good). Its value reflects the increased car dependence and it is within the range of other income elasticities found in the literature. The male gender of household head, the amount of cars owned, the participation of family members in the labour market, the family size (a single-parent or couples with at least one child older than 18 years-old) and the expenditure on communication and tourism increase the probability of private vehicle gasoline consumption. The latter finding verifies that private vehicle constitutes an important means of transport during vacation. The use of communication devices, especially a mobile phone, reinforces the use of private vehicle, as it weakens the need for short-range activity planning in advance and the range and extent of social networking. On the contrary, the high population densities, the connection to the internet and the aging of household head reduce the probability of private vehicle gasoline consumption. The above results signify the role of personal and intra-household constraints, mostly related to size and aging structure, on the selection and use of a private vehicle. The expenditure on most other transport categories, such as an urban public transport, taxi, coach and rail negatively and statistically significantly affect private vehicle gasoline consumption. This outcome stresses the competitive relationship between the private vehicle and other transport modes which are mainly used in urban areas (urban bus, metro, and taxi). The study findings suggest the design of more sustainable leisure travel services, focussed on upgrading the quality of public transport modes servicing tourist resort areas. Policy measures to manage private vehicle use must be spatially targeted, accounting for the local climate, residential densities, infrastructure and accessibility conditions and the service quality of alternative modes in each Region. These measures can be supplemented with the adoption of suitable information and communication technologies to reduce the demand for private vehicle travel and increase the level of public transport services, as well as investments in clean vehicle technologies.",,,False,"Tsekeris, T",,38688,182128.0,2018-07-09 09:38:58.808502+00:00,0,False,,,Disaggregate Analysis of Gasoline Consumption Demand of Greek Households,False,,,True,
